date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2017-09-20,4129,2637,1492,3991700,5600425,9592125,1154,288,1442
2017-09-21,2599,1374,1225,2735775,3761244,6497019,918,186,1104
2017-09-22,2018,1155,863,2801550,4296268,7097818,566,173,739
2017-09-23,2042,1185,857,2087425,3941666,6029091,683,174,857
2017-09-24,1258,860,398,1383264,3024312,4407576,283,82,365
2017-09-25,2195,1320,875,2204150,5638373,7842523,699,203,902
2017-09-26,2540,1571,969,2029102,6852940,8882042,785,219,1004
2017-09-27,3676,2514,1162,3014052,7074430,10088482,962,375,1337
2017-09-28,2357,1296,1061,2373224,3588185,5961409,860,150,1010
2017-09-29,1303,625,678,1009250,1714700,2723950,552,71,623
2017-09-30,693,270,423,455550,369550,825100,318,43,361
2017-10-01,385,129,256,668350,724500,1392850,168,16,184
2017-10-02,583,193,390,588750,1010435,1599185,269,35,304
2017-10-03,1193,459,734,1043750,3231928,4275678,552,40,592
2017-10-04,1708,782,926,1252400,3250183,4502583,737,72,809
2017-10-05,1002,295,707,1243750,1683792,2927542,569,52,621
2017-10-06,1688,641,1047,1712771,2219616,3932387,874,72,946
2017-10-07,2263,1173,1090,2245872,5395969,7641841,922,171,1093
2017-10-08,866,471,395,1040300,1802300,2842600,304,35,339
2017-10-09,2528,1159,1369,2364981,4410536,6775517,1190,169,1359
2017-10-10,2734,1426,1308,2586850,7740250,10327100,1056,168,1224
2017-10-11,3624,1968,1656,3236150,6814511,10050661,1369,258,1627
2017-10-12,2877,1496,1381,2125850,7252212,9378062,1165,210,1375
2017-10-13,3027,1527,1500,2887600,8573613,11461213,1258,208,1466
2017-10-14,2818,1457,1361,2358150,6429006,8787156,1175,187,1362
2017-10-15,1433,649,784,1113550,3677585,4791135,653,101,754
2017-10-16,2252,1180,1072,2112112,4632251,6744363,860,155,1015
2017-10-17,2398,1215,1183,1339226,4412290,5751516,987,122,1109
2017-10-18,1307,425,882,691250,931010,1622260,668,71,739
2017-10-19,251,29,222,218150,37600,255750,132,6,138
2017-10-20,392,84,308,129200,60300,189500,252,20,272
2017-10-21,695,185,510,290550,70360,360910,412,45,457
2017-10-22,559,156,403,216600,509000,725600,345,28,373
2017-10-23,2047,1164,883,1417750,3241844,4659594,739,153,892
2017-10-24,2736,1472,1264,2090600,7710763,9801363,1002,205,1207
2017-10-25,3348,2184,1164,2659725,6693587,9353312,930,221,1151
2017-10-26,2481,1489,992,2568225,6725164,9293389,780,168,948
2017-10-27,2859,1618,1241,2646240,6546102,9192342,966,144,1110
2017-10-28,2526,1579,947,1862500,5268954,7131454,786,159,945
2017-10-29,1550,965,585,1457650,4462494,5920144,437,103,540
2017-10-30,2537,1536,1001,2658650,5809456,8468106,773,199,972
2017-10-31,2847,1767,1080,2247850,6711751,8959601,865,226,1091
2017-11-01,2336,1446,890,1765850,5127580,6893430,737,201,938
2017-11-02,2262,1241,1021,2085900,6402974,8488874,802,155,957
2017-11-03,2517,1460,1057,2518320,6236619,8754939,830,189,1019
2017-11-04,1611,746,865,1563954,3281400,4845354,703,92,795
2017-11-05,1235,624,611,927900,2249000,3176900,475,54,529
2017-11-06,2059,1068,991,1905800,4956992,6862792,811,122,933
2017-11-07,2550,1384,1166,2793302,6860331,9653633,954,188,1142
2017-11-08,2904,1886,1018,2516525,6724909,9241434,805,209,1014
2017-11-09,2876,1698,1178,2805282,9296193,12101475,953,173,1126
2017-11-10,2511,1349,1162,2325580,5757649,8083229,928,154,1082
2017-11-11,2050,1060,990,1980629,5531832,7512461,855,160,1015
2017-11-12,1243,634,609,1230100,2845825,4075925,498,66,564
2017-11-13,2137,972,1165,1963121,4215243,6178364,905,143,1048
2017-11-14,2446,1272,1174,1530374,5019739,6550113,983,118,1101
2017-11-15,2339,1263,1076,2234281,4983986,7218267,862,120,982
2017-11-16,2273,1181,1092,2687204,4692312,7379516,878,100,978
2017-11-17,2428,1252,1176,2029165,5269493,7298658,928,183,1111
2017-11-18,1917,1075,842,1875650,4803395,6679045,650,123,773
2017-11-19,1204,594,610,1298760,2928322,4227082,441,62,503
2017-11-20,1569,718,851,1699800,3165302,4865102,630,65,695
2017-11-21,2224,886,1338,2547200,3153876,5701076,892,111,1003
2017-11-22,2936,1673,1263,2355109,2833330,5188439,1079,150,1229
2017-11-23,1716,836,880,2094053,2814525,4908578,630,88,718
2017-11-24,1550,808,742,1523400,3428229,4951629,588,72,660
2017-11-25,1576,797,779,1356575,3360790,4717365,646,97,743
2017-11-26,1306,573,733,1127800,3088505,4216305,623,64,687
2017-11-27,1865,949,916,1269650,3500796,4770446,770,115,885
2017-11-28,2704,1437,1267,2401550,5155297,7556847,971,160,1131
2017-11-29,5672,4021,1651,3630200,4056489,7686689,1390,498,1888
2017-11-30,2165,1288,877,2100114,3185978,5286092,717,140,857
2017-12-01,1749,906,843,2068350,4436877,6505227,690,137,827
2017-12-02,1460,740,720,1160475,3530550,4691025,631,64,695
2017-12-03,1088,566,522,793950,1849280,2643230,409,38,447
2017-12-04,1598,971,627,1337044,4003490,5340534,522,101,623
2017-12-05,2302,1344,958,1829308,7120116,8949424,858,165,1023
2017-12-06,10751,7711,3040,7036000,8611228,15647228,2667,740,3407
2017-12-07,2084,1204,880,1341050,6385342,7726392,781,123,904
2017-12-08,1748,944,804,1435350,6507051,7942401,659,136,795
2017-12-09,1373,726,647,1468400,7260380,8728780,545,115,660
2017-12-10,863,466,397,541700,2660632,3202332,353,53,406
2017-12-11,1720,855,865,1452650,7112407,8565057,752,104,856
2017-12-12,2340,1209,1131,1518850,6875065,8393915,970,116,1086
2017-12-13,9647,6805,2842,6610425,7308125,13918550,2495,675,3170
2017-12-14,1984,949,1035,1415450,6350423,7765873,857,97,954
2017-12-15,2244,1038,1206,2534800,8205091,10739891,827,109,936
2017-12-16,1565,889,676,1392660,6769041,8161701,563,111,674
2017-12-17,944,474,470,1074800,2962500,4037300,371,54,425
2017-12-18,1591,530,1061,1058500,2571625,3630125,881,91,972
2017-12-19,1766,858,908,1650899,6936165,8587064,730,119,849
2017-12-20,10795,7523,3272,7149300,10140551,17289851,2770,641,3411
2017-12-21,2302,1258,1044,2390626,12242482,14633108,753,185,938
2017-12-22,1828,1203,625,1646948,9093705,10740653,420,141,561
2017-12-23,1521,1041,480,1977650,9089165,11066815,312,101,413
2017-12-24,709,419,290,1132200,3794710,4926910,202,42,244
2017-12-25,763,474,289,710150,3563430,4273580,201,40,241
2017-12-26,1605,1021,584,1727000,6403129,8130129,450,112,562
2017-12-27,10447,7803,2644,6920000,9970999,16890999,2219,712,2931
2017-12-28,1807,1041,766,2200890,11087606,13288496,595,98,693
2017-12-29,2006,1227,779,2229275,11897400,14126675,620,114,734
2017-12-30,1487,810,677,1137200,5924402,7061602,545,129,674
2017-12-31,760,430,330,708510,2412248,3120758,249,43,292
2018-01-01,853,484,369,1120800,1992875,3113675,247,46,293
2018-01-02,1630,1024,606,2496849,7211668,9708517,442,129,571
2018-01-03,9851,7490,2361,6672801,11313410,17986211,2141,827,2968
2018-01-04,2267,1370,897,3206699,11105909,14312608,731,229,960
2018-01-05,2175,1360,815,2184325,13756828,15941153,635,216,851
2018-01-06,1807,1031,776,1859952,8407466,10267418,615,183,798
2018-01-07,1418,839,579,1976500,8078193,10054693,436,157,593
2018-01-08,1900,1198,702,2625250,10294597,12919847,504,184,688
2018-01-09,2192,1330,862,2661000,12684142,15345142,656,231,887
2018-01-10,11570,8373,3197,8709284,11617002,20326286,2805,843,3648
2018-01-11,2339,1366,973,2943025,12081282,15024307,728,168,896
2018-01-12,2297,1419,878,4294900,13267621,17562521,639,155,794
2018-01-13,1846,1111,735,2779700,12047226,14826926,554,220,774
2018-01-14,1564,1119,445,2826800,12126160,14952960,380,265,645
2018-01-15,2202,1326,876,3553500,12839755,16393255,691,159,850
2018-01-16,2557,1518,1039,4879300,16874080,21753380,797,237,1034
2018-01-17,10854,7890,2964,9234525,13029546,22264071,2593,673,3266
2018-01-18,2468,1606,862,4410975,15702884,20113859,628,243,871
2018-01-19,2466,1514,952,5143050,15226845,20369895,721,339,1060
2018-01-20,2654,1715,939,6075725,17560262,23635987,695,424,1119
2018-01-21,1711,1205,506,2836200,12508107,15344307,401,342,743
2018-01-22,1809,1067,742,3167900,11076245,14244145,551,178,729
2018-01-23,1637,1050,587,2635325,11095948,13731273,428,168,596
2018-01-24,11069,7841,3228,9615683,12233244,21848927,2810,696,3506
2018-01-25,1847,1261,586,3427081,11408120,14835201,346,146,492
2018-01-26,910,707,203,1252550,12417951,13670501,128,139,267
2018-01-27,1482,937,545,1680801,8924449,10605250,415,140,555
2018-01-28,986,623,363,1181900,6703299,7885199,290,84,374
2018-01-29,1523,934,589,1660200,7997578,9657778,444,147,591
2018-01-30,1806,1042,764,3777400,10987612,14765012,549,151,700
2018-01-31,10327,7561,2766,6600070,9423094,16023164,2450,723,3173
2018-02-01,2079,1302,777,3020400,10068277,13088677,582,183,765
2018-02-02,1983,1344,639,3152256,12412451,15564707,423,157,580
2018-02-03,1795,1161,634,2815500,12739369,15554869,406,159,565
2018-02-04,721,445,276,1048250,5580523,6628773,207,66,273
2018-02-05,1775,1162,613,2690750,10174242,12864992,419,232,651
2018-02-06,1989,1256,733,3257700,11646085,14903785,556,193,749
2018-02-07,10484,7632,2852,8253150,11629894,19883044,2547,726,3273
2018-02-08,1987,1269,718,2709150,12160342,14869492,488,145,633
2018-02-09,1774,1209,565,2487500,12884553,15372053,370,158,528
2018-02-10,1737,1120,617,1680650,9596458,11277108,485,134,619
2018-02-11,1026,617,409,873650,4182919,5056569,290,81,371
2018-02-12,1466,800,666,2183900,8439803,10623703,465,138,603
2018-02-13,1855,1098,757,2404600,10050071,12454671,531,131,662
2018-02-14,2104,1069,1035,2185300,7628219,9813519,812,110,922
2018-02-15,10152,7273,2879,7950425,9930552,17880977,2546,740,3286
2018-02-16,1847,1118,729,2247235,11529663,13776898,558,124,682
2018-02-17,1442,792,650,2014350,8989490,11003840,449,110,559
2018-02-18,1050,563,487,1380100,7541152,8921252,363,49,412
2018-02-19,1222,725,497,1253400,6757792,8011192,364,96,460
2018-02-20,1971,1056,915,2648050,10464445,13112495,716,155,871
2018-02-21,8469,5955,2514,7960250,16992823,24953073,2196,566,2762
2018-02-22,1939,1121,818,2617950,10635136,13253086,555,141,696
2018-02-23,2114,1238,876,2878251,11673170,14551421,632,223,855
2018-02-24,1973,1259,714,2430775,11907154,14337929,582,207,789
2018-02-25,1360,878,482,2111452,10467199,12578651,361,122,483
2018-02-26,2274,1462,812,3576832,15196269,18773101,616,289,905
2018-02-27,2188,1252,936,3205238,11806603,15011841,633,180,813
2018-02-28,9391,6504,2887,7580900,7716168,15297068,2599,614,3213
2018-03-01,1066,502,564,1484399,4897945,6382344,394,62,456
2018-03-02,435,162,273,531600,989950,1521550,213,28,241
2018-03-03,963,427,536,1737250,1743863,3481113,377,49,426
2018-03-04,1077,637,440,1071550,2537600,3609150,350,43,393
2018-03-05,2169,1331,838,2019551,6245270,8264821,634,89,723
2018-03-06,3228,2326,902,4068254,14230000,18298254,640,146,786
2018-03-07,12037,8970,3067,9243000,10790345,20033345,2703,693,3396
2018-03-08,3271,2569,702,2864451,13099631,15964082,470,161,631
2018-03-09,3511,2848,663,3331601,13309085,16640686,467,150,617
2018-03-10,2796,2330,466,1829174,10589200,12418374,309,104,413
2018-03-11,1705,1363,342,1991801,8592082,10583883,217,85,302
2018-03-12,3289,2601,688,2743860,11564836,14308696,480,145,625
2018-03-13,3582,2755,827,3754215,14572266,18326481,595,171,766
2018-03-14,11988,8823,3165,9264054,17556294,26820348,2771,734,3505
2018-03-15,3619,2829,790,3008751,15128340,18137091,603,149,752
2018-03-16,3645,2701,944,3298390,16300458,19598848,721,175,896
2018-03-17,3462,2616,846,2929466,13580543,16510009,669,177,846
2018-03-18,1566,1191,375,1206050,6813520,8019570,259,60,319
2018-03-19,3473,2775,698,2880550,11149853,14030403,481,162,643
2018-03-20,3660,2909,751,4604400,16046523,20650923,507,124,631
2018-03-21,11305,8640,2665,7693551,15371061,23064612,2338,695,3033
2018-03-22,3721,2890,831,2535301,11381536,13916837,576,154,730
2018-03-23,3619,2837,782,1861402,10006022,11867424,557,111,668
2018-03-24,2909,2324,585,2344701,14363881,16708582,367,122,489
2018-03-25,1579,1274,305,1194700,9064520,10259220,209,53,262
2018-03-26,3419,2768,651,3080775,12125786,15206561,382,106,488
2018-03-27,3593,2905,688,3275100,16951509,20226609,400,126,526
2018-03-28,12314,9029,3285,8596450,13732822,22329272,2860,834,3694
2018-03-29,3591,2780,811,1564650,10902825,12467475,637,158,795
2018-03-30,3286,2621,665,1700200,10237083,11937283,490,119,609
2018-03-31,2724,2173,551,1365450,6549922,7915372,406,95,501
2018-04-01,1527,1148,379,1094390,4132750,5227140,268,49,317
2018-04-02,2485,2066,419,1684250,7187252,8871502,297,80,377
2018-04-03,3681,2895,786,2113188,9863458,11976646,581,152,733
2018-04-04,14138,10412,3726,9354450,10917985,20272435,3355,1327,4682
2018-04-05,4156,3198,958,2025300,11315884,13341184,735,143,878
2018-04-06,4007,3109,898,2574150,12211610,14785760,693,148,841
2018-04-07,4196,2952,1244,2975648,10001497,12977145,1008,177,1185
2018-04-08,2278,1456,822,1154180,4919750,6073930,690,119,809
2018-04-09,4101,3056,1045,2354899,11658696,14013595,807,154,961
2018-04-10,3920,3076,844,2001700,10681440,12683140,613,136,749
2018-04-11,12979,9544,3435,9199343,10541169,19740512,3042,968,4010
2018-04-12,3808,2754,1054,2827850,12358619,15186469,808,184,992
2018-04-13,3916,2953,963,2118500,11169059,13287559,747,158,905
2018-04-14,3629,2704,925,1962050,12092808,14054858,759,159,918
2018-04-15,1912,1227,685,690350,5033496,5723846,567,77,644
2018-04-16,4148,3299,849,2740600,13734210,16474810,644,214,858
2018-04-17,4064,3427,637,2703900,15136793,17840693,404,213,617
2018-04-18,13605,10080,3525,8340490,16379651,24720141,3127,1018,4145
2018-04-19,4821,3880,941,2156200,11829301,13985501,695,156,851
2018-04-20,4728,3723,1005,2351450,10919306,13270756,741,148,889
2018-04-21,4171,3243,928,1736750,8789246,10525996,687,160,847
2018-04-22,2778,2021,757,1830350,7138748,8969098,586,114,700
2018-04-23,5553,4764,789,1818411,6066850,7885261,475,126,601
2018-04-24,6077,5083,994,2508500,10783619,13292119,546,172,718
2018-04-25,12012,9001,3011,6840600,8040175,14880775,2644,644,3288
2018-04-26,4978,3990,988,2178944,8100597,10279541,653,162,815
2018-04-27,5175,4223,952,2704050,8017961,10722011,621,220,841
2018-04-28,14942,13911,1031,3081200,11056016,14137216,716,253,969
2018-04-29,2834,2089,745,1689050,7838230,9527280,430,140,570
2018-04-30,4956,4146,810,1533750,6711863,8245613,425,162,587
2018-05-01,6198,4941,1257,2929350,10469499,13398849,722,245,967
2018-05-02,13571,9953,3618,8349200,13167390,21516590,2882,909,3791
2018-05-03,8638,6443,2195,4576950,13784229,18361179,1461,546,2007
2018-05-04,9357,6990,2367,4860168,15731150,20591318,1391,534,1925
2018-05-05,8022,6193,1829,3515300,14020433,17535733,819,400,1219
2018-05-06,3007,2285,722,1327450,3675260,5002710,413,104,517
2018-05-07,9907,7560,2347,4424681,10522474,14947155,1337,511,1848
2018-05-08,12419,9126,3293,5208199,15913494,21121693,1886,620,2506
2018-05-09,17749,12634,5115,8239310,18842797,27082107,3538,966,4504
2018-05-10,10950,7828,3122,3719730,15463417,19183147,1905,395,2300
2018-05-11,11108,8549,2559,3480050,13222565,16702615,1409,369,1778
2018-05-12,10300,7974,2326,2495850,11067930,13563780,1196,242,1438
2018-05-13,4583,3594,989,955950,3673900,4629850,563,121,684
2018-05-14,9684,7718,1966,3417395,11618786,15036181,1109,248,1357
2018-05-15,10286,8338,1948,3166950,20229737,23396687,1196,292,1488
2018-05-16,16124,12106,4018,7853705,14982589,22836294,3122,809,3931
2018-05-17,8959,6899,2060,3141697,17021860,20163557,1390,306,1696
2018-05-18,8626,6428,2198,3465848,19431034,22896882,1371,326,1697
2018-05-19,7742,6009,1733,3045151,14397986,17443137,1112,213,1325
2018-05-20,5163,3888,1275,1710050,8446977,10157027,624,147,771
2018-05-21,9066,7106,1960,2833821,13061703,15895524,1050,232,1282
2018-05-22,16985,14790,2195,3802650,17138103,20940753,1332,279,1611
2018-05-23,15858,11743,4115,7946750,17244390,25191140,3248,821,4069
2018-05-24,15651,14024,1627,2821801,14332632,17154433,1028,201,1229
2018-05-25,7885,6312,1573,3337300,13842327,17179627,1037,234,1271
2018-05-26,7047,5919,1128,2187350,9858581,12045931,721,190,911
2018-05-27,4261,3404,857,1392523,6931680,8324203,486,137,623
2018-05-28,12837,11204,1633,2397300,11022033,13419333,1078,198,1276
2018-05-29,8953,6888,2065,3475000,18330535,21805535,1267,273,1540
2018-05-30,15915,11834,4081,7902500,17289045,25191545,3147,769,3916
2018-05-31,14882,13060,1822,3240140,13495652,16735792,1146,227,1373
2018-06-01,8033,6619,1414,2616955,14469340,17086295,828,213,1041
2018-06-02,8209,6738,1471,3039663,14316813,17356476,918,224,1142
2018-06-03,5030,4059,971,4545260,10597071,15142331,667,103,770
2018-06-04,8532,6936,1596,2591355,12346330,14937685,755,261,1016
2018-06-05,9533,7859,1674,3548597,19775707,23324304,828,292,1120
2018-06-06,16923,13049,3874,8682100,23407483,32089583,2725,949,3674
2018-06-07,18652,16740,1912,4093473,22562072,26655545,1148,347,1495
2018-06-08,9940,8448,1492,3141865,21503300,24645165,826,342,1168
2018-06-09,8746,7562,1184,2963450,18340695,21304145,675,355,1030
2018-06-10,6725,5865,860,1740010,7303796,9043806,433,154,587
2018-06-11,10718,9046,1672,3860800,18553073,22413873,728,321,1049
2018-06-12,18897,17025,1872,6216300,25358788,31575088,833,352,1185
2018-06-13,17223,13290,3933,11252225,24275071,35527296,2705,760,3465
2018-06-14,10945,8923,2022,9950225,22240028,32190253,855,247,1102
2018-06-15,11869,9789,2080,3386549,18505071,21891620,877,363,1240
2018-06-16,7670,6597,1073,1399200,7657297,9056497,628,179,807
2018-06-17,5822,4995,827,1886575,7981250,9867825,539,92,631
2018-06-18,10308,8635,1673,4175700,12210600,16386300,881,261,1142
2018-06-19,18124,16557,1567,5535475,23250380,28785855,806,279,1085
2018-06-20,16755,13051,3704,9145254,19998365,29143619,2563,798,3361
2018-06-21,10467,8408,2059,9100184,19468756,28568940,698,196,894
2018-06-22,12173,9203,2970,14228547,21433452,35661999,1020,336,1356
2018-06-23,10717,8491,2226,8665650,14676588,23342238,741,349,1090
2018-06-24,6148,5090,1058,2163286,10057549,12220835,565,127,692
2018-06-25,10235,8127,2108,9756617,16219141,25975758,714,252,966
2018-06-26,21973,18748,3225,27133632,26970437,54104069,560,363,923
2018-06-27,19070,13788,5282,41384448,21214766,62599214,2673,753,3426
2018-06-28,14284,9983,4301,20121948,20222782,40344730,700,314,1014
2018-06-29,13879,9330,4549,31142312,21755309,52897621,956,303,1259
2018-06-30,12276,8481,3795,18864332,13954689,32819021,788,164,952
2018-07-01,5517,4421,1096,3295599,11339452,14635051,545,89,634
2018-07-02,11857,8447,3410,15721599,17427521,33149120,1250,323,1573
2018-07-03,12508,9269,3239,13175929,18137874,31313803,1232,358,1590
2018-07-04,22496,15919,6577,20744607,17377150,38121757,3920,1104,5024
2018-07-05,12604,9459,3145,12754608,19798622,32553230,1059,270,1329
2018-07-06,12529,9287,3242,13315455,18388498,31703953,1068,304,1372
2018-07-07,12141,8396,3745,14991544,18136127,33127671,1035,314,1349
2018-07-08,5956,4487,1469,4464511,9291926,13756437,516,145,661
2018-07-09,10548,7723,2825,11631578,15730831,27362409,954,280,1234
2018-07-10,12344,8806,3538,14285091,26694829,40979920,1083,458,1541
2018-07-11,19905,13871,6034,20756899,22736287,43493186,3639,892,4531
2018-07-12,11278,7898,3380,10968974,20216263,31185237,1251,335,1586
2018-07-13,9546,7096,2450,10049079,23668348,33717427,922,265,1187
2018-07-14,9313,6706,2607,4629588,9199913,13829501,1072,293,1365
2018-07-15,6407,4461,1946,2966724,7239858,10206582,976,137,1113
2018-07-16,10575,8059,2516,11198613,16168651,27367264,969,388,1357
2018-07-17,13152,9423,3729,12337899,19067727,31405626,1541,397,1938
2018-07-18,20270,13690,6580,16180439,18708729,34889168,4103,1116,5219
2018-07-19,11892,8550,3342,13231752,18909120,32140872,1127,366,1493
2018-07-20,14283,8960,5323,14492525,20500871,34993396,1053,396,1449
2018-07-21,10004,6245,3759,10825410,10112812,20938222,1030,259,1289
2018-07-22,6547,4704,1843,4108231,5301679,9409910,599,120,719
2018-07-23,14254,9861,4393,8025418,13332645,21358063,1056,503,1559
2018-07-24,13636,8894,4742,10672400,20000752,30673152,1492,381,1873
2018-07-25,23267,14462,8805,21368021,18544736,39912757,4286,1011,5297
2018-07-26,11428,7805,3623,10413406,15846974,26260380,951,247,1198
2018-07-27,12741,8037,4704,13161895,14553228,27715123,1438,378,1816
2018-07-28,13333,9349,3984,6685181,14635162,21320343,1335,284,1619
2018-07-29,11085,8204,2881,8252055,11221745,19473800,803,145,948
2018-07-30,15344,11163,4181,11461174,17123365,28584539,1542,410,1952
2018-07-31,16519,12108,4411,10084451,24436113,34520564,1926,396,2322
2018-08-01,23240,16538,6702,14906334,26328390,41234724,4262,860,5122
2018-08-02,14939,11199,3740,9267905,24901180,34169085,1218,433,1651
2018-08-03,14681,11073,3608,10893085,21637393,32530478,1549,407,1956
2018-08-04,15329,11304,4025,9599425,21423154,31022579,1621,558,2179
2018-08-05,11338,9688,1650,3132205,13267664,16399869,761,246,1007
2018-08-06,13851,11033,2818,5709114,19108436,24817550,1151,445,1596
2018-08-07,13778,10770,3008,5748975,21873492,27622467,1294,445,1739
2018-08-08,20399,15309,5090,8718747,28985231,37703978,3564,947,4511
2018-08-09,12263,9603,2660,12622286,18397354,31019640,1290,416,1706
2018-08-10,13924,11299,2625,5309243,22107027,27416270,1204,460,1664
2018-08-11,12243,10258,1985,3115000,22961119,26076119,1156,347,1503
2018-08-12,9302,7880,1422,2128297,13270604,15398901,809,154,963
2018-08-13,11768,10020,1748,2560274,17497107,20057381,858,434,1292
2018-08-14,13118,11264,1854,3939882,22877320,26817202,838,462,1300
2018-08-15,6712,5467,1245,1421374,10906914,12328288,416,150,566
2018-08-16,15459,12931,2528,5830575,22518397,28348972,1394,558,1952
2018-08-17,12762,10993,1769,2661050,22272165,24933215,596,338,934
2018-08-18,13831,11523,2308,3515700,26221167,29736867,1291,377,1668
2018-08-19,10339,8753,1586,1896111,15951031,17847142,852,282,1134
2018-08-20,13106,11051,2055,3342570,21567995,24910565,1157,410,1567
2018-08-21,15220,12594,2626,5422725,27449632,32872357,1219,546,1765
2018-08-22,12374,10455,1919,3229624,19461877,22691501,815,436,1251
2018-08-23,16410,13643,2767,4945874,24280951,29226825,1602,568,2170
2018-08-24,15814,13113,2701,4978736,25023270,30002006,1394,475,1869
2018-08-25,12923,10870,2053,3181908,21138158,24320066,1007,380,1387
2018-08-26,6847,5892,955,1012520,7953507,8966027,383,139,522
2018-08-27,13274,11103,2171,3258642,14873986,18132628,908,356,1264
2018-08-28,12064,9733,2331,5196754,22386213,27582967,1234,348,1582
2018-08-29,22980,17533,5447,9756415,27312939,37069354,4040,952,4992
2018-08-30,17272,14352,2920,5061945,34353702,39415647,1618,547,2165
2018-08-31,15963,13046,2917,3485985,24851527,28337512,1555,505,2060
2018-09-01,14948,12304,2644,2933148,25561527,28494675,1548,305,1853
2018-09-02,10639,8829,1810,2175066,21741470,23916536,1212,139,1351
2018-09-03,13508,10950,2558,2273255,16211254,18484509,1522,334,1856
2018-09-04,15921,12383,3538,4295338,18229384,22524722,2337,473,2810
2018-09-05,22431,16453,5978,8306262,24452030,32758292,4470,987,5457
2018-09-06,16870,13154,3716,5129260,26173038,31302298,2467,624,3091
2018-09-07,19387,14192,5195,6538327,29617671,36155998,3523,771,4294
2018-09-08,14792,10793,3999,3863678,21555899,25419577,2757,565,3322
2018-09-09,10989,8511,2478,1540598,14229657,15770255,1681,360,2041
2018-09-10,16570,12045,4525,4727051,18565344,23292395,2955,699,3654
2018-09-11,19675,15030,4645,6377088,29462043,35839131,3061,751,3812
2018-09-12,27971,20253,7718,10000145,27916974,37917119,5654,1298,6952
2018-09-13,19211,14702,4509,4434625,28043546,32478171,2949,837,3786
2018-09-14,20097,15385,4712,6662599,28359673,35022272,2934,931,3865
2018-09-15,16341,12365,3976,4368306,23930742,28299048,2784,660,3444
2018-09-16,10943,8668,2275,2213275,18670727,20884002,1437,352,1789
2018-09-17,17394,13553,3841,3506750,18998964,22505714,2478,765,3243
2018-09-18,18435,14627,3808,4955795,25720740,30676535,2380,859,3239
2018-09-19,27759,20322,7437,9285621,31917243,41202864,5588,1435,7023
2018-09-20,18037,13741,4296,4547548,25807332,30354880,2882,726,3608
2018-09-21,16308,12816,3492,2825838,21362753,24188591,2310,661,2971
2018-09-22,14452,11147,3305,3147700,25901928,29049628,2159,458,2617
2018-09-23,10116,7989,2127,1483275,14079338,15562613,1395,280,1675
2018-09-24,13058,10044,3014,3218212,17356846,20575058,1963,468,2431
2018-09-25,20380,15567,4813,4480093,24342084,28822177,3147,924,4071
2018-09-26,29367,21211,8156,10821825,28541622,39363447,6175,1609,7784
2018-09-27,18812,14540,4272,4431874,25433808,29865682,2789,811,3600
2018-09-28,19002,14721,4281,5327834,27416806,32744640,2795,768,3563
2018-09-29,18273,13463,4810,12058962,25184282,37243244,3066,856,3922
2018-09-30,11246,9174,2072,2148120,19998317,22146437,1511,300,1811
2018-10-01,19221,15597,3624,3391020,33035293,36426313,2245,667,2912
2018-10-02,15570,12848,2722,4872426,24281176,29153602,1448,622,2070
2018-10-03,28358,21032,7326,10761333,24661887,35423220,5469,1462,6931
2018-10-04,19914,15347,4567,9550753,27455872,37006625,2674,897,3571
2018-10-05,19798,14915,4883,15234169,32542019,47776188,2526,837,3363
2018-10-06,18840,13632,5208,15202101,22486955,37689056,2228,695,2923
2018-10-07,12342,9953,2389,3691430,18311579,22003009,1311,480,1791
2018-10-08,17374,13449,3925,6817919,18586466,25404385,1934,684,2618
2018-10-09,17207,14030,3177,6496542,23701868,30198410,1498,765,2263
2018-10-10,25110,19201,5909,8648124,27066535,35714659,4228,1532,5760
2018-10-11,18109,14512,3597,7370061,23432962,30803023,1690,845,2535
2018-10-12,18720,14320,4400,5583125,27654457,33237582,2912,811,3723
2018-10-13,17653,13488,4165,4409712,24073327,28483039,2767,641,3408
2018-10-14,13474,10480,2994,3292340,16870634,20162974,1909,572,2481
2018-10-15,17912,13379,4533,5600725,19636815,25237540,2827,820,3647
2018-10-16,20024,15339,4685,5968668,25708215,31676883,3041,815,3856
2018-10-17,27182,19815,7367,10558646,26502838,37061484,5337,1272,6609
2018-10-18,16536,12613,3923,5943350,16743349,22686699,2364,702,3066
2018-10-19,13162,10370,2792,3794190,10761369,14555559,1545,448,1993
2018-10-20,16545,12915,3630,4037900,13998354,18036254,2100,539,2639
2018-10-21,12360,10046,2314,2196451,14412820,16609271,1450,410,1860
2018-10-22,17806,13906,3900,5208225,19490329,24698554,2226,732,2958
2018-10-23,19793,15229,4564,8170354,25865187,34035541,2390,707,3097
2018-10-24,28234,20304,7930,16580242,24482062,41062304,5223,1339,6562
2018-10-25,18367,14535,3832,6841618,20609454,27451072,2081,694,2775
2018-10-26,19540,15321,4219,7467469,170469770,177937239,2292,812,3104
2018-10-27,16479,13168,3311,4097825,21663200,25761025,1721,672,2393
2018-10-28,12458,10299,2159,2896090,12543455,15439545,1308,441,1749
2018-10-29,19127,14900,4227,5948524,21266469,27214993,2368,764,3132
2018-10-30,20613,16434,4179,5318258,28294280,33612538,2355,734,3089
